game_id,week,home_team,away_team,went_ot,home_shots,away_shots,home_xg,away_xg,home_max_xg,away_max_xg,home_goals,away_goals,home_assists,away_assists,home_penalties_taken,away_penalties_taken,home_penalties_drawn,away_penalties_drawn,home_penalty_minutes,away_penalty_minutes
1,1,China,Kazakhstan,0,26,21,3.1389,2.0092,0.2207,0.1334,2,3,3,6,7,9,9,7,14,20
2,1,Denmark,Poland,1,35,35,4.5177,3.675,0.2389,0.2185,4,3,8,5,9,8,8,9,18,16
3,1,Great Britain,Canada,1,43,35,5.1785,4.1429,0.2259,0.2206,4,5,4,8,11,7,7,11,22,17
4,1,Ukraine,Norway,1,21,16,1.9028,1.8834,0.143,0.2319,3,2,5,2,9,6,6,9,18,12
5,1,Belarus,Russia,1,20,31,2.1535,4.0155,0.1993,0.1715,2,3,4,4,4,5,5,4,8,10
6,1,Netherlands,Croatia,0,24,23,3.1397,2.9037,0.2553,0.2093,3,2,5,4,3,8,8,3,6,18
7,1,Slovenia,Finland,0,24,23,2.5536,3.8109,0.2314,0.2613,1,6,2,11,8,5,5,8,18,10
8,1,Czech Republic,Japan,0,42,13,4.8474,1.9186,0.2444,0.2307,4,1,7,1,3,6,6,3,6,12
9,1,Austria,France,0,25,28,3.0303,3.9,0.2247,0.2388,4,7,6,9,6,4,4,6,12,8
10,1,Italy,Germany,0,29,24,3.3067,2.7505,0.1609,0.1716,1,4,2,6,5,1,1,5,10,2
11,1,Sweden,Switzerland,0,26,27,2.554,4.1608,0.1496,0.2469,4,3,6,4,5,5,5,5,10,10
12,1,Hungary,South Korea,0,22,24,2.0843,2.6883,0.1219,0.1515,1,7,2,12,12,4,4,12,24,8
13,1,Belgium,United States,0,29,34,3.0866,4.076,0.1836,0.2162,2,5,3,9,12,7,7,12,26,14
14,1,Estonia,Latvia,0,30,31,3.3714,3.8136,0.2099,0.2045,3,2,5,3,11,13,13,11,24,26
15,1,Lithuania,Romania,0,20,20,2.482,1.4268,0.1483,0.1218,3,2,4,4,5,6,6,5,10,12
16,1,Spain,Slovakia,1,30,22,2.9774,2.538,0.222,0.2246,2,1,3,1,14,12,12,14,28,24
17,2,Denmark,Russia,0,22,29,2.0044,4.785,0.1457,0.2313,3,5,6,8,9,5,5,9,21,10
18,2,Austria,Poland,0,22,30,2.3254,3.6445,0.1581,0.2242,1,5,2,8,10,6,6,10,20,12
19,2,Croatia,Spain,0,30,29,4.4505,3.1094,0.2699,0.1553,4,8,7,11,2,10,10,2,4,20
20,2,Canada,Norway,1,23,17,2.4795,1.8336,0.1486,0.1514,3,2,6,2,2,3,3,2,4,6
21,2,Sweden,Kazakhstan,0,23,24,2.4501,2.6528,0.2165,0.1434,1,5,2,5,4,6,6,4,8,12
22,2,Great Britain,United States,0,35,31,4.3495,3.4288,0.2654,0.1568,2,5,4,10,8,4,4,8,16,8
23,2,Japan,Belarus,1,29,24,3.0534,2.8685,0.1673,0.2113,4,5,8,8,10,4,4,10,20,8
24,2,Slovenia,Italy,0,28,32,3.8786,4.4366,0.2489,0.1816,5,7,8,9,8,7,7,8,16,14
25,2,China,Belgium,0,23,20,2.0626,1.7521,0.1402,0.1918,1,5,1,5,10,6,6,10,22,12
26,2,Estonia,Czech Republic,0,23,25,3.4778,2.2952,0.2728,0.1354,5,0,7,0,10,12,12,10,20,24
27,2,Finland,Switzerland,0,19,23,2.5496,2.9362,0.1557,0.2359,2,6,4,11,14,6,6,14,28,12
28,2,Ukraine,Germany,1,21,19,2.1378,2.0582,0.1369,0.2118,3,2,6,2,6,2,2,6,12,4
29,2,Latvia,France,1,25,29,3.2301,3.8807,0.1652,0.2506,5,4,7,8,13,4,4,13,26,8
30,2,Netherlands,South Korea,1,38,25,4.7532,2.5056,0.2341,0.1392,2,1,3,2,6,10,10,6,12,20
31,2,Hungary,Slovakia,0,23,17,1.8935,2.1321,0.1545,0.1699,0,2,0,4,6,6,6,6,12,14
32,2,Romania,Lithuania,0,34,18,2.8785,1.9604,0.1437,0.1394,1,3,2,5,4,4,4,4,8,11
33,3,Czech Republic,Russia,0,26,18,2.6594,2.8739,0.145,0.1959,1,2,2,2,6,5,5,6,12,10
34,3,Croatia,Hungary,0,23,16,2.9115,1.9645,0.1791,0.2158,3,2,5,4,5,2,2,5,12,4
35,3,Belgium,Denmark,0,27,29,3.2679,3.0742,0.2341,0.2264,6,1,10,2,5,5,5,5,10,10
36,3,Spain,China,0,25,34,2.4841,4.2114,0.1512,0.2169,3,5,5,9,7,3,3,7,16,6
37,3,Italy,France,0,29,19,3.3874,2.7684,0.1887,0.2579,4,5,7,7,8,2,2,8,16,4
38,3,Canada,Estonia,1,28,32,2.9912,3.0041,0.1422,0.2134,2,1,2,2,9,6,6,9,18,12
39,3,Japan,South Korea,0,30,31,3.6404,2.714,0.2132,0.1604,4,5,8,6,7,9,9,7,14,18
40,3,Netherlands,Finland,1,29,38,2.927,4.837,0.182,0.1737,2,3,3,6,5,4,4,5,10,8
41,3,Lithuania,Austria,0,27,20,3.7318,1.7579,0.1873,0.1573,2,1,1,1,3,6,6,3,6,12
42,3,United States,Kazakhstan,0,40,27,4.4673,3.0113,0.1792,0.2284,2,1,2,2,3,7,7,3,6,14
43,3,Poland,Slovakia,1,36,36,2.9107,4.2021,0.1288,0.181,4,3,5,3,9,7,7,9,18,14
44,3,Belarus,Slovenia,0,18,40,2.6247,4.692,0.1892,0.1572,2,3,4,6,7,6,6,7,14,12
45,3,Switzerland,Romania,0,20,28,2.2875,2.3673,0.1488,0.1306,6,1,7,1,7,6,6,7,14,12
46,3,Norway,Ukraine,1,31,26,3.8233,2.2878,0.1811,0.137,5,4,7,7,5,6,6,5,10,12
47,3,Sweden,Germany,0,29,37,3.3173,4.5105,0.1536,0.1822,6,4,7,5,6,6,6,6,12,12
48,3,Great Britain,Latvia,0,31,34,4.3044,3.9606,0.2401,0.1566,5,4,9,5,4,7,7,4,8,14
49,4,Slovenia,Russia,0,25,27,2.3425,3.8313,0.1537,0.1941,2,5,3,6,3,6,6,3,6,12
50,4,Czech Republic,Lithuania,0,21,24,2.2378,3.593,0.1444,0.1948,2,0,4,0,3,4,4,3,6,8
51,4,Ukraine,Denmark,0,33,15,3.3819,1.7622,0.2165,0.1777,4,2,5,4,5,11,11,5,10,22
52,4,France,Estonia,0,32,27,2.9172,3.1298,0.2192,0.1704,2,4,4,8,4,5,5,4,8,10
53,4,Austria,Sweden,1,35,33,4.2008,4.0322,0.1701,0.2296,5,6,10,10,7,4,4,7,14,8
54,4,China,Croatia,0,30,26,3.1751,3.2665,0.2125,0.1884,1,3,2,5,8,2,2,8,16,4
55,4,Italy,Germany,0,35,19,4.4049,2.1067,0.1621,0.1714,6,1,11,0,3,9,9,3,6,18
