game_id,week,home_team,away_team,home_line_type,home_pairing_type,away_line_type,away_pairing_type,home_goalie,away_goalie,went_ot,toi,home_shots,away_shots,home_xg,away_xg,home_max_xg,away_max_xg,home_goals,away_goals,home_assists,away_assists,home_penalties_taken,away_penalties_taken,home_penalties_drawn,away_penalties_drawn,home_penalty_minutes,away_penalty_minutes
1,1,China,Kazakhstan,top,top,top,top,Jeremy Duncan,Damon Glover,0,235.12,0,2,0.0,0.1115,0.0,0.0557,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,top,secondary,top,Jeremy Duncan,Damon Glover,0,386.69,2,3,0.1668,0.1317,0.0834,0.0439,1,0,1,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,secondary,top,Jeremy Duncan,Damon Glover,0,285.83,3,0,0.2588,0.0,0.0863,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,secondary,top,Jeremy Duncan,Damon Glover,0,70.71,0,1,0.0,0.0956,0.0,0.0956,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,secondary,secondary,Jeremy Duncan,Damon Glover,0,236.15,3,2,0.367,0.1935,0.1223,0.0967,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,top,secondary,Jeremy Duncan,Damon Glover,0,463.63,3,0,0.3089,0.0,0.103,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,secondary,top,secondary,Jeremy Duncan,Damon Glover,0,295.68,1,3,0.1001,0.2495,0.1001,0.0832,1,0,1,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,top,top,secondary,Jeremy Duncan,Damon Glover,0,55.73,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,top,secondary,secondary,Jeremy Duncan,Damon Glover,0,75.33,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,PP,PP,PK,PK,Jeremy Duncan,Damon Glover,0,677.86,19,1,2.9384,0.0651,0.2241,0.0651,2,0,2,0,0,8,8,0,0,18
1,1,China,Kazakhstan,secondary,top,secondary,secondary,Jeremy Duncan,Damon Glover,0,146.77,3,0,0.3174,0.0,0.1058,0.0,1,0,2,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,top,top,Jeremy Duncan,Damon Glover,0,101.76,0,1,0.0,0.1074,0.0,0.1074,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,secondary,top,top,Jeremy Duncan,Damon Glover,0,129.6,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,secondary,secondary,secondary,Jeremy Duncan,Damon Glover,0,79.59,1,1,0.1195,0.0713,0.1195,0.0713,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,top,top,Jeremy Duncan,Damon Glover,0,41.94,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,top,secondary,Jeremy Duncan,Damon Glover,0,117.47,0,1,0.0,0.0823,0.0,0.0823,0,0,0,0,0,0,0,0,0,0
