game_id,week,home_team,away_team,home_line_type,home_pairing_type,away_line_type,away_pairing_type,home_goalie,away_goalie,went_ot,toi,home_shots,away_shots,home_xg,away_xg,home_max_xg,away_max_xg,home_goals,away_goals,home_assists,away_assists,home_penalties_taken,away_penalties_taken,home_penalties_drawn,away_penalties_drawn,home_penalty_minutes,away_penalty_minutes
1,1,China,Kazakhstan,top,top,top,top,Jeremy Duncan,Damon Glover,0,253.96,4,0,0.2562,0.0,0.064,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,secondary,top,top,Jeremy Duncan,Damon Glover,0,265.02,2,1,0.1611,0.082,0.0806,0.082,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,secondary,secondary,top,Jeremy Duncan,Damon Glover,0,45.79,0,1,0.0,0.0702,0.0,0.0702,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,secondary,top,Jeremy Duncan,Damon Glover,0,116.32,0,2,0.0,0.1912,0.0,0.0956,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,secondary,secondary,Jeremy Duncan,Damon Glover,0,243.27,1,2,0.1223,0.1935,0.1223,0.0967,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,top,secondary,Jeremy Duncan,Damon Glover,0,162.11,1,1,0.103,0.1086,0.103,0.1086,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,top,secondary,Jeremy Duncan,Damon Glover,0,69.21,1,0,0.0864,0.0,0.0864,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,top,top,Jeremy Duncan,Damon Glover,0,208.67,2,2,0.1338,0.1623,0.0669,0.0812,1,0,1,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,top,secondary,top,Jeremy Duncan,Damon Glover,0,160.47,3,1,0.2503,0.117,0.0834,0.117,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,secondary,secondary,secondary,Jeremy Duncan,Damon Glover,0,155.91,0,1,0.0,0.0713,0.0,0.0713,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,secondary,top,Jeremy Duncan,Damon Glover,0,115.79,0,1,0.0,0.0693,0.0,0.0693,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,secondary,top,secondary,Jeremy Duncan,Damon Glover,0,112.43,2,1,0.2002,0.0832,0.1001,0.0832,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,secondary,secondary,Jeremy Duncan,Damon Glover,0,213.3,2,0,0.2116,0.0,0.1058,0.0,1,0,2,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,top,secondary,secondary,Jeremy Duncan,Damon Glover,0,142.53,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,top,top,Jeremy Duncan,Damon Glover,0,166.34,0,2,0.0,0.2149,0.0,0.1074,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,PK,PK,PP,PP,Jeremy Duncan,Damon Glover,0,720.0,0,10,0.0,1.228,0.0,0.1358,0,2,0,3,6,1,1,6,12,2
1,1,China,Kazakhstan,top,top,top,secondary,Jeremy Duncan,Damon Glover,0,88.91,0,4,0.0,0.2276,0.0,0.0569,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,PP,PP,PK,PK,Jeremy Duncan,Damon Glover,0,360.0,3,0,0.533,0.0,0.2401,0.0,1,0,1,0,0,6,6,0,0,14
2,1,Denmark,Poland,top,top,top,top,Robert Williams,Christopher Travis,0,161.85,1,0,0.0686,0.0,0.0686,0.0,0,0,0,0,0,0,0,0,0,0
2,1,Denmark,Poland,top,top,top,secondary,Robert Williams,Christopher Travis,0,232.51,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,1,Denmark,Poland,top,top,secondary,secondary,Robert Williams,Christopher Travis,0,108.22,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,1,Denmark,Poland,secondary,top,secondary,secondary,Robert Williams,Christopher Travis,0,131.15,0,2,0.0,0.1374,0.0,0.0687,0,0,0,0,0,0,0,0,0,0
2,1,Denmark,Poland,secondary,secondary,secondary,secondary,Robert Williams,Christopher Travis,0,126.71,2,0,0.2657,0.0,0.1329,0.0,0,0,0,0,0,0,0,0,0,0
