game_id,week,home_team,away_team,went_ot,home_shots,away_shots,home_xg,away_xg,home_max_xg,away_max_xg,home_goals,away_goals,home_assists,away_assists,home_penalties_taken,away_penalties_taken,home_penalties_drawn,away_penalties_drawn,home_penalty_minutes,away_penalty_minutes
1,1,China,Kazakhstan,0,21,31,2.8467,2.583,0.2473,0.1265,2,3,3,5,4,9,9,4,8,18
2,1,Denmark,Poland,1,28,37,3.262,3.893,0.1721,0.2158,5,4,6,4,6,7,7,6,12,14
3,1,Great Britain,Canada,0,29,24,3.0182,2.8358,0.1873,0.2136,1,2,2,4,6,3,3,6,12,6
4,1,Ukraine,Norway,0,22,26,2.1178,3.1643,0.1393,0.1586,4,1,6,1,9,3,3,9,21,6
5,1,Belarus,Russia,0,28,26,2.668,3.922,0.1434,0.2459,2,5,2,9,10,5,5,10,20,10
6,1,Netherlands,Croatia,0,19,27,2.5595,3.9754,0.1782,0.2306,4,3,7,6,4,6,6,4,8,12
7,1,Slovenia,Finland,0,32,29,3.6129,4.6214,0.1619,0.2755,2,8,2,14,9,8,8,9,18,16
8,1,Czech Republic,Japan,0,30,18,3.2642,2.6516,0.1704,0.2543,5,4,10,5,4,5,5,4,8,10
9,1,Austria,France,0,35,18,4.2529,1.9968,0.1696,0.1733,6,3,11,4,3,5,5,3,6,12
10,1,Italy,Germany,0,26,23,3.1437,2.8192,0.1598,0.1927,5,4,8,5,5,4,4,5,10,8
11,1,Sweden,Switzerland,0,24,27,2.5471,3.231,0.1377,0.1697,1,7,2,13,5,6,6,5,10,14
12,1,Hungary,South Korea,1,32,16,3.4128,1.7184,0.1533,0.1397,1,2,2,4,4,6,6,4,10,12
13,1,Belgium,United States,0,34,21,4.1213,2.2897,0.2135,0.2036,3,0,6,0,8,7,7,8,16,14
14,1,Estonia,Latvia,0,24,24,2.6043,2.644,0.2237,0.2006,4,2,7,3,3,7,7,3,6,14
15,1,Lithuania,Romania,0,20,27,2.5034,1.8232,0.2212,0.1251,6,2,8,3,6,8,8,6,12,16
16,1,Spain,Slovakia,0,23,33,1.909,4.6959,0.1466,0.239,5,4,6,6,11,5,5,11,22,10
17,2,Denmark,Russia,1,17,31,1.6504,4.722,0.161,0.2313,3,4,5,4,12,8,8,12,26,16
18,2,Austria,Poland,0,21,36,2.0667,4.0378,0.142,0.1691,1,6,0,12,8,4,4,8,16,8
19,2,Croatia,Spain,0,29,19,3.8398,1.9797,0.192,0.2339,6,3,9,4,3,3,3,3,6,6
20,2,Canada,Norway,0,23,36,2.2855,4.8584,0.1623,0.236,5,4,5,5,10,2,2,10,22,4
21,2,Sweden,Kazakhstan,0,32,31,2.9264,3.4865,0.1329,0.2169,4,1,6,2,4,6,6,4,8,12
22,2,Great Britain,United States,0,25,23,2.9438,2.5315,0.175,0.2189,3,1,6,1,8,4,4,8,18,10
23,2,Japan,Belarus,0,31,19,3.8688,1.9691,0.2147,0.1807,6,0,11,0,7,8,8,7,14,16
24,2,Slovenia,Italy,0,28,21,3.7474,2.8875,0.1712,0.1843,7,2,12,4,6,6,6,6,12,12
25,2,China,Belgium,0,25,34,2.7769,3.5031,0.2165,0.1978,1,2,2,2,12,6,6,12,24,12
26,2,Estonia,Czech Republic,0,25,26,3.6084,2.6069,0.1765,0.1733,5,3,7,4,5,6,6,5,10,12
27,2,Finland,Switzerland,1,19,33,2.301,3.6971,0.1436,0.2276,7,6,10,10,6,5,5,6,12,12
28,2,Ukraine,Germany,0,19,11,2.4277,1.0691,0.2199,0.151,1,2,1,3,4,5,5,4,8,10
29,2,Latvia,France,0,29,34,4.6212,3.4889,0.2495,0.1443,2,1,4,2,9,7,7,9,18,14
30,2,Netherlands,South Korea,0,32,40,3.3945,4.6956,0.1638,0.2335,5,4,7,6,7,7,7,7,14,14
31,2,Hungary,Slovakia,0,20,34,1.9824,4.1946,0.2124,0.1628,0,3,0,5,6,9,9,6,12,18
32,2,Romania,Lithuania,0,24,13,1.7394,1.4602,0.1232,0.1598,1,2,1,3,4,4,4,4,8,8
33,3,Czech Republic,Russia,0,21,33,1.7964,5.5066,0.1325,0.2042,0,9,0,13,6,5,5,6,15,10
34,3,Croatia,Hungary,0,32,31,4.5558,3.3116,0.191,0.1512,6,1,7,2,3,4,4,3,6,8
35,3,Belgium,Denmark,0,22,19,2.1136,2.3084,0.1696,0.2399,3,2,4,3,6,3,3,6,12,6
36,3,Spain,China,1,53,59,4.9463,6.9042,0.1461,0.2182,2,3,3,3,17,9,9,17,34,18
37,3,Italy,France,0,31,35,4.0683,4.5495,0.2537,0.2546,2,6,3,8,5,7,7,5,10,14
38,3,Canada,Estonia,0,31,25,3.3413,2.7513,0.2146,0.2288,2,3,3,4,2,7,7,2,7,14
39,3,Japan,South Korea,0,37,20,4.3091,2.0411,0.2142,0.1539,3,1,6,2,5,8,8,5,10,16
40,3,Netherlands,Finland,0,35,19,3.7834,2.4675,0.1717,0.1631,7,0,8,0,3,4,4,3,6,8
41,3,Lithuania,Austria,0,30,28,4.2594,2.4509,0.177,0.1494,4,2,7,3,5,7,7,5,10,14
42,3,United States,Kazakhstan,1,32,20,3.5281,2.5744,0.1792,0.1731,6,5,12,9,5,8,8,5,10,18
43,3,Poland,Slovakia,0,28,36,2.6776,4.3805,0.2116,0.1635,3,6,4,9,9,9,9,9,18,21
44,3,Belarus,Slovenia,0,22,20,2.9237,2.3361,0.1618,0.1528,7,2,12,3,4,5,5,4,8,10
45,3,Switzerland,Romania,0,19,29,2.4527,2.7531,0.1762,0.1919,1,5,1,8,10,9,9,10,20,18
46,3,Norway,Ukraine,0,29,25,3.4728,2.6486,0.2199,0.2014,4,2,4,3,8,7,7,8,16,14
47,3,Sweden,Germany,0,17,22,1.7743,2.753,0.1616,0.1576,2,1,1,1,7,4,4,7,14,8
48,3,Great Britain,Latvia,0,30,17,3.3961,1.8498,0.1611,0.2299,4,1,5,2,6,5,5,6,12,10
49,4,Slovenia,Russia,0,21,22,2.0929,3.2283,0.1784,0.183,1,3,2,6,3,4,4,3,6,8
50,4,Czech Republic,Lithuania,0,23,22,1.8521,3.3058,0.136,0.2134,1,4,2,8,9,1,1,9,18,5
51,4,Ukraine,Denmark,0,32,21,3.7293,1.8681,0.2256,0.1264,2,3,4,5,2,10,10,2,4,20
52,4,France,Estonia,1,21,27,1.887,2.6474,0.1176,0.1538,1,0,1,0,2,6,6,2,4,12
53,4,Austria,Sweden,1,41,29,5.2065,3.0577,0.2545,0.1532,3,2,3,4,4,12,12,4,8,24
54,4,China,Croatia,0,24,25,2.3919,2.9774,0.237,0.2258,5,3,6,3,9,5,5,9,21,12
55,4,Italy,Germany,1,43,30,5.0202,3.7106,0.1805,0.178,8,7,12,7,6,6,6,6,12,12
56,4,Finland,Great Britain,0,29,26,4.0677,2.8629,0.2222,0.1669,7,3,10,3,10,6,6,10,20,14
57,4,South Korea,Norway,0,31,33,3.2512,3.8143,0.1587,0.1541,0,2,0,3,8,5,5,8,18,10
58,4,Latvia,Hungary,0,14,24,1.6845,2.9051,0.1578,0.2383,1,4,2,4,9,4,4,9,18,8
59,4,Spain,Canada,0,31,27,3.3284,3.3958,0.1643,0.2253,1,3,2,5,10,7,7,10,20,14
60,4,Slovakia,Japan,0,22,28,2.6152,2.4702,0.1783,0.1809,2,0,2,0,9,6,6,9,18,12
61,4,Belarus,Kazakhstan,0,24,29,2.5746,3.6326,0.2352,0.2316,5,4,3,5,6,7,7,6,12,14
62,4,United States,Switzerland,0,36,22,3.8174,2.4183,0.2212,0.1816,7,1,10,0,4,4,4,4,8,8
63,4,Poland,Netherlands,0,20,36,2.0507,5.0349,0.117,0.2417,2,8,4,14,8,2,2,8,16,4
64,4,Belgium,Romania,1,30,43,2.7435,3.6695,0.1608,0.2066,2,1,2,0,8,3,3,8,18,6
65,5,Sweden,Russia,0,18,17,1.1753,2.4719,0.1264,0.1906,1,5,1,7,6,3,3,6,12,6
66,5,Norway,Denmark,0,35,26,5.5893,2.4757,0.2572,0.1528,7,3,13,6,3,9,9,3,6,18
